Chr 	PhysPos	GenPos	PhysStart	PhysEnd	GenStart	GenEnd	3PCLR.Anc	3PCLR.Anc.S	3PCLR.A	3PCLR.A.S	3PCLR.B	3PCLR.B.S	XPCLRAC	XPCLRAC.S	XPCLRBC	XPCLRBC.S
23 	264	2.53e-06	264	130144	2.53e-06	0.00124938	4.02717	0.0001	0.0331469	1e-05	0	1e-08	0.723421	0.0001	0	1e-08
23 	2252	2.162e-05	264	132360	2.53e-06	0.00127066	2.90812	0.0001	0.000669237	1e-05	0	1e-08	2.18971	0.0001	1.97291	0.0001
23 	3860	3.706e-05	264	134058	2.53e-06	0.00128696	0.687711	0.0001	0	1e-08	1.6363	0.0001	0	1e-08	4.02594	0.001
23 	5157	4.951e-05	264	135537	2.53e-06	0.00130116	20.927	0.001	9.93252	0.001	3.23785e-07	1e-05	26.5787	0.001	0	1e-08
23 	9060	8.698e-05	264	139226	2.53e-06	0.00133657	32.8906	0.001	23.9602	0.001	0.768584	0.0001	35.0731	0.001	1.89586	0.0001
23 	12004	0.00011524	264	142014	2.53e-06	0.00136333	13.9895	0.001	7.9255	0.001	0.803084	0.0001	22.4874	0.001	2.24762	0.0001
23 	14300	0.00013728	264	144627	2.53e-06	0.00138842	3.37993	0.0001	9.89964	0.0001	0	1e-08	7.99067	0.0001	0	1e-08
23 	15977	0.00015338	264	146276	2.53e-06	0.00140425	0	1e-08	3.54467	0.0001	0.129441	1e-05	1.52389	0.0001	1.13687e-13	1e-08
23 	17251	0.00016561	264	147537	2.53e-06	0.00141636	4.10024	0.0001	2.67223	0.0001	1.07396	0.0001	4.1426	0.0001	0.308868	0.0001
23 	20153	0.00019347	264	150296	2.53e-06	0.00144284	0	1e-08	2.31375e-09	1e-06	1.5032	0.0001	0	1e-08	1.03057	0.0001
23 	22485	0.00021586	264	152837	2.53e-06	0.00146724	-4.54747e-13	1e-08	-4.54747e-13	1e-08	0	1e-08	0	1e-08	0	1e-08
23 	25530	0.00024509	264	155750	2.53e-06	0.0014952	12.6103	0.001	0.983716	0.0001	1.12035	0.0001	5.05123	0.001	2.18506	0.0001
23 	29688	0.000285	264	160240	2.53e-06	0.0015383	13.3306	0.001	3.43268	0.0001	1.32464	0.0001	5.28368	0.0001	4.6862	0.0001
23 	31037	0.00029796	264	161165	2.53e-06	0.00154718	4.69506	0.0001	5.56684	0.0001	0	1e-08	5.77651	0.0001	0	1e-08
23 	33991	0.00032631	264	163917	2.53e-06	0.0015736	0	1e-08	0	1e-08	0	1e-08	0	1e-08	1.13687e-13	1e-08
