Chr 	PhysPos	GenPos	PhysStart	PhysEnd	GenStart	GenEnd	3PCLR.Anc	3PCLR.Anc.S	3PCLR.A	3PCLR.A.S	3PCLR.B	3PCLR.B.S	XPCLRAC	XPCLRAC.S	XPCLRBC	XPCLRBC.S
23 	267	2.56e-06	267	130341	2.56e-06	0.00125127	-2.27374e-13	1e-08	8.55065e-05	1e-05	0.00212496	1e-05	0	1e-08	0.000449989	1e-05
23 	2462	2.364e-05	267	132978	2.56e-06	0.00127659	0.27894	0.0001	1.72269	0.0001	0	1e-08	1.05416	0.0001	0	1e-08
23 	6230	5.981e-05	267	136541	2.56e-06	0.00131079	0.510904	0.0001	0	1e-08	0.224625	0.0001	0.354756	0.0001	0.395695	0.0001
23 	9361	8.987e-05	267	139647	2.56e-06	0.00134061	0.143878	0.0001	-2.27374e-13	1e-08	1.69286	0.001	0	1e-08	2.58124	0.001
23 	13139	0.00012613	267	143183	2.56e-06	0.00137456	-4.54747e-13	1e-08	0.590056	0.0001	4.54747e-12	1e-06	1.09683	0.0001	1.13687e-13	1e-08
23 	17578	0.00016875	267	147681	2.56e-06	0.00141774	-2.27374e-13	1e-08	0.0243775	1e-05	0.0145726	1e-05	0.646103	0.0001	0	1e-08
23 	22346	0.00021452	267	152350	2.56e-06	0.00146256	3.22079	0.0001	0	1e-08	10.0648	0.001	2.01216	0.0001	19.4708	0.001
23 	25486	0.00024467	267	155774	2.56e-06	0.00149543	0	1e-08	0	1e-08	2.97595	0.0001	0	1e-08	1.99066	0.0001
23 	27438	0.0002634	267	157573	2.56e-06	0.0015127	1.45433	0.0001	0.544723	0.0001	4.66112	0.001	1.05074	0.0001	6.1505	0.001
23 	31602	0.00030338	267	161853	2.56e-06	0.00155379	19.5925	0.001	2.40194	0.0001	2.59668	0.0001	9.99655	0.001	22.3505	0.001
23 	33379	0.00032044	267	162925	2.56e-06	0.00156408	1.45213	0.0001	3.81262	0.0001	0.0203464	1e-05	4.43504	0.0001	64.4563	0.01
23 	35557	0.00034135	267	165767	2.56e-06	0.00159136	14.3504	0.001	0.986169	0.0001	3.55314	0.001	7.76862	0.001	12.7731	0.001
23 	39398	0.00037822	267	169494	2.56e-06	0.00162714	0.290845	0.0001	-2.27374e-13	1e-08	9.31588	0.001	0	1e-08	13.3753	0.001
23 	41908	0.00040232	267	172000	2.56e-06	0.0016512	5.1916	0.0001	0.0011057	1e-05	7.2345	0.001	3.46167	0.0001	20.3522	0.001
23 	44198	0.0004243	267	174816	2.56e-06	0.00167823	19.2794	0.001	0.0025731	1e-05	15.6432	0.001	2.03957	0.0001	31.4347	0.001
