chr physpos 0 mCentral nCentral mEastern nEastern mNigeria nNigeria
23 264 2.53e-06 0 36 0 38 5 20
23 382 3.67e-06 26 36 36 38 14 20
23 753 7.23e-06 2 36 0 38 1 20
23 1318 1.265e-05 0 36 0 38 1 20
23 1332 1.279e-05 0 36 2 38 1 20
23 1476 1.417e-05 5 36 9 38 3 20
23 1681 1.614e-05 0 36 0 38 3 20
23 1688 1.62e-05 0 36 0 38 1 20
23 1714 1.645e-05 0 36 0 38 3 20
23 2142 2.056e-05 0 36 6 38 2 20
23 2252 2.162e-05 0 36 0 38 2 20
23 2268 2.177e-05 10 36 8 38 12 20
23 2308 2.216e-05 10 36 8 38 12 20
23 2428 2.331e-05 10 36 7 38 12 20
23 2443 2.345e-05 16 36 16 38 2 20
23 2569 2.466e-05 10 36 7 38 12 20
23 2705 2.597e-05 0 36 0 38 1 20
23 2871 2.756e-05 0 36 0 38 2 20
23 3221 3.092e-05 10 36 4 38 13 20
23 3504 3.364e-05 0 36 0 38 3 20
23 3860 3.706e-05 0 36 6 38 2 20
23 3951 3.793e-05 28 36 34 38 16 20
23 4043 3.881e-05 2 36 0 38 1 20
23 4518 4.337e-05 0 36 0 38 5 20
23 4671 4.484e-05 8 36 4 38 4 20
23 4714 4.525e-05 8 36 4 38 4 20
23 4747 4.557e-05 28 36 31 38 16 20
23 5028 4.827e-05 4 36 7 38 6 20
23 5034 4.833e-05 0 36 0 38 3 20
23 5051 4.849e-05 0 36 0 38 4 20
23 5157 4.951e-05 32 36 31 38 14 20
23 5385 5.17e-05 0 36 9 38 3 20
23 6451 6.193e-05 0 36 0 38 4 20
23 6587 6.324e-05 0 36 0 38 2 20
23 7330 7.037e-05 2 36 9 38 7 20
23 7904 7.588e-05 0 36 0 38 1 20
23 8060 7.738e-05 36 36 37 38 16 20
23 8083 7.76e-05 0 36 0 38 4 20
23 8774 8.423e-05 0 36 0 38 2 20
23 9059 8.697e-05 0 36 0 38 4 20
23 9060 8.698e-05 36 36 37 38 14 20
23 9157 8.791e-05 0 36 0 38 1 20
23 9402 9.026e-05 36 36 37 38 14 20
23 9449 9.071e-05 36 36 37 38 14 20
23 10102 9.698e-05 0 36 1 38 2 20
23 10190 9.782e-05 34 36 29 38 14 20
